date,temperature,humidite
2025-10-05 15:00:00,15,76
2025-10-05 15:10:00,15.2,74
2025-10-05 15:20:00,15.2,74
2025-10-05 15:30:00,15.1,76
2025-10-05 15:40:00,15.1,74
2025-10-05 15:50:00,14.8,75
2025-10-05 16:00:00,14.7,76
2025-10-05 16:10:00,14.8,75
2025-10-05 16:20:00,14.7,75
2025-10-05 16:30:00,14.7,76
2025-10-05 16:40:00,14.6,75
2025-10-05 16:50:00,14.6,76
2025-10-05 17:00:00,14.5,77
2025-10-05 17:10:00,14.4,79
2025-10-05 17:20:00,14.3,80
2025-10-05 17:30:00,14.3,79
2025-10-05 17:40:00,14.4,79
2025-10-05 17:50:00,14.3,80
2025-10-05 18:00:00,14.4,79
2025-10-05 18:10:00,14.3,79
2025-10-05 18:20:00,14.4,79
2025-10-05 18:30:00,14.4,79
2025-10-05 18:40:00,14.4,79
2025-10-05 18:50:00,14.1,82
2025-10-05 19:00:00,14,81
2025-10-05 19:10:00,14.2,80
2025-10-05 19:20:00,14.1,78
2025-10-05 19:30:00,14.1,78
2025-10-05 19:40:00,14.1,78
2025-10-05 19:50:00,14.1,77
2025-10-05 20:00:00,14.1,78
2025-10-05 20:10:00,14.3,77
2025-10-05 20:20:00,14.4,77
2025-10-05 20:30:00,14.4,76
2025-10-05 20:40:00,14.4,76
2025-10-05 20:50:00,14.3,77
2025-10-05 21:00:00,14.1,77
2025-10-05 21:10:00,14.1,77
2025-10-05 21:20:00,13.9,77
2025-10-05 21:30:00,13.9,76
2025-10-05 21:40:00,13.9,78
2025-10-05 21:50:00,13.8,78
2025-10-05 22:00:00,13.7,78
2025-10-05 22:10:00,13.7,78
2025-10-05 22:20:00,13.6,78
2025-10-05 22:30:00,13.5,77
2025-10-05 22:40:00,13.4,77
2025-10-05 22:50:00,13.3,78
2025-10-05 23:00:00,13.2,78
2025-10-05 23:10:00,13.2,79
2025-10-05 23:20:00,13.1,79
2025-10-05 23:30:00,13.2,80
2025-10-05 23:40:00,13.1,80
2025-10-05 23:50:00,13.2,80
2025-10-06 00:00:00,13.2,81
2025-10-06 00:10:00,13.1,81
2025-10-06 00:20:00,13.1,80
2025-10-06 00:30:00,12.9,80
2025-10-06 00:40:00,12.9,80
2025-10-06 00:50:00,12.9,81
2025-10-06 01:00:00,12.8,82
2025-10-06 01:10:00,12.8,82
2025-10-06 01:20:00,12.8,83
2025-10-06 01:30:00,12.8,83
2025-10-06 01:40:00,12.9,82
2025-10-06 01:50:00,13.1,82
