# METADATA:
# 000XZ: Saint-Martin-du-Bec
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;pression_variation_3h;humidite;point_de_rosee;visibilite;vent_moyen;vent_rafales;vent_rafales_10min;vent_direction;temperature_min;temperature_max;pluie_1h;pluie_3h;pluie_6h;pluie_12h;pluie_24h;pluie_cumul_0h;pluie_intensite;pluie_intensite_max_1h;uv;uv_index;ensoleillement;temperature_sol;temps_omm;complements;source
string;YYYY-MM-DD hh:mm:ss;°C;hPa;hPa;%;°C;m;km/h;km/h;km/h;deg;°C;°C;mm;mm;mm;mm;mm;mm;mm/h;mm/h;W/m²;UV Index;hours;°C;https://www.infoclimat.fr/stations-meteo/ww.php;various;StatIC={oy1110,liveobjects,wlkIPxml,wlkLive,csv,weatherlink,vws,vws2,mnw,weewxPosteriori,wlk2webdlRR,wlkLivePostprocessed,wlk2webdl}|Synop={metno1,ogimet,bufr,inra,arpa-liguria,jma1,swiss-opendata,mcx,meteocentre,andorre,arpa-piemonte}
000XZ;2025-10-10 03:10:00;10.8;1031.6;0.3;98;10.5;;0;;0;;8.3;10.8;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 03:20:00;10.9;1031.6;0.3;98;10.6;;0;;0;;8.3;10.9;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 03:30:00;11;1031.7;0.4;98;10.7;;0;;0;;8.3;11;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 03:40:00;11.1;1031.6;0.3;98;10.8;;0;;0;;8.3;11.1;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 03:50:00;11.2;1031.6;0.3;98;10.9;;0;;0;;8.3;11.2;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 04:00:00;11.1;1031.6;;98;10.8;;0;;0;;8.3;11.2;0;0;0;0;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 04:10:00;11.2;1031.7;0.1;98;10.9;;0;;0;;8.3;11.2;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 04:20:00;11.2;1031.8;0.2;98;10.9;;0;;0;;8.3;11.2;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 04:30:00;11.3;1031.9;0.3;98;11;;0;;0;;8.3;11.3;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 04:40:00;11.4;1032.1;0.5;98;11.1;;0;;0;;8.3;11.4;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 04:50:00;11.6;1032.1;0.5;98;11.3;;0;;0;;8.3;11.6;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 05:00:00;11.7;1032.2;0.5;98;11.4;;0.4;;5.8;338;8.3;11.7;0;0;0;0;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 05:10:00;11.7;1032.2;0.5;98;11.4;;0;;0;;8.3;11.7;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 05:20:00;11.9;1032.3;0.6;98;11.6;;1.1;;2.9;338;8.3;11.9;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 05:30:00;11.9;1032.3;0.6;98;11.6;;0.4;;2.9;338;8.3;11.9;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 05:40:00;12.1;1032.5;0.8;98;11.7;;0.4;;2.9;338;8.3;12.1;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 05:50:00;12.2;1032.5;0.8;98;11.9;;0.7;;8.7;338;8.3;12.2;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 06:00:00;12.2;1032.6;1;98;11.9;;0;;8.7;;8.3;12.2;0;0;0;0;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 06:10:00;12.2;1032.7;1.1;98;11.9;;0;;0;;8.3;12.2;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 06:20:00;12.1;1032.7;1.1;98;11.8;;2.5;;5.8;73;8.3;12.2;;;;;;0;0;0;0;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 06:30:00;12.2;1032.7;1.1;98;11.9;;0.4;;2.9;45;8.3;12.2;;;;;;0;0;0;5;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 06:40:00;12.2;1032.7;1.1;98;11.9;;0.7;;5.8;45;8.3;12.2;;;;;;0;0;0;7;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 06:50:00;12.3;1032.8;1.2;98;12;;0.4;;2.9;45;8.3;12.3;;;;;;0;0;0;9;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 07:00:00;12.3;1033.1;1.5;98;12;;0.7;;5.8;0;8.3;12.3;0;0;0;0;;0;0;0;12;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 07:10:00;12.3;1033.1;1.5;97;11.9;;1.1;;5.8;0;8.3;12.4;;;;;;0;0;0;18;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 07:20:00;12.4;1033.1;1.5;97;12;;0;;2.9;;8.3;12.4;;;;;;0;0;0;26;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 07:30:00;12.6;1033.2;1.6;97;12.1;;0;;0;;8.3;12.6;;;;;;0;0;0;32;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 07:40:00;12.7;1033.2;1.6;97;12.3;;1.1;;8.7;45;8.3;12.7;;;;;;0;0;0;37;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 07:50:00;12.8;1033.2;1.6;96;12.2;;1.8;;5.8;113;8.3;12.8;;;;;;0;0;0;35;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 08:00:00;13.1;1033.4;1.2;96;12.4;;0.4;;5.8;113;8.3;13;0;0;0;0;;0;0;0;39;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 08:10:00;13.1;1033.4;1.2;95;12.3;;0.4;;2.9;113;8.3;13.1;;;;;;0;0;0;42;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 08:20:00;13.3;1033.6;1.4;95;12.5;;0.4;;2.9;113;8.3;13.3;;;;;;0;0;0;44;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 08:30:00;13.5;1033.7;1.5;95;12.7;;0;;0;;8.3;13.5;;;;;;0;0;0;56;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 08:40:00;13.6;1033.7;1.5;94;12.6;;0;;2.9;;8.3;13.6;;;;;;0;0;0;70;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 08:50:00;13.8;1033.7;1.5;94;12.8;;0;;0;;8.3;13.8;;;;;;0;0;0;69;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 09:00:00;14;1033.6;1;93;12.9;;0;;0;;8.3;13.9;0;0;0;0;;0;0;0;74;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 09:10:00;14.1;1033.7;1.1;93;12.9;;0;;0;;8.3;14.1;;;;;;0;0;0;86;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 09:20:00;14.1;1033.7;1.1;92;12.8;;0.4;;2.9;113;8.3;14.1;;;;;;0;0;0;81;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 09:30:00;14.2;1034.1;1.5;91;12.7;;1.8;;8.7;113;8.3;14.2;;;;;;0;0;0;76;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 09:40:00;14.3;1034.2;1.6;91;12.8;;0;;2.9;;8.3;14.3;;;;;;0;0;0;83;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 09:50:00;14.2;1034.2;1.6;89;12.4;;2.8;;8.7;113;8.3;14.3;;;;;;0;0;0;83;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 10:00:00;14.4;1034.2;1.1;90;12.8;;2.5;;5.8;113;8.3;14.4;0;0;0;0;;0;0;0;90;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 10:10:00;14.4;1034.4;1.3;89;12.6;;1.4;;5.8;113;8.3;14.4;;;;;;0;0;0;84;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 10:20:00;14.4;1034.3;1.2;89;12.6;;2.8;;5.8;113;8.3;14.4;;;;;;0;0;0;88;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 10:30:00;14.4;1034.4;1.3;89;12.7;;1.8;;5.8;113;8.3;14.4;;;;;;0;0;0;90;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 10:40:00;14.6;1034.3;1.2;89;12.8;;0;;0;;8.3;14.6;;;;;;0;0;0;93;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 10:50:00;14.7;1034.4;1.3;88;12.8;;0;;0;;8.3;14.7;;;;;;0;0;0;88;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 11:00:00;14.7;1034.4;1;88;12.7;;0.4;;2.9;113;8.3;14.7;0;0;0;0;;0;0;0;97;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 11:10:00;14.7;1034.5;1.1;88;12.8;;0;;2.9;;8.3;14.7;;;;;;0;0;0;100;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 11:20:00;14.8;1034.6;1.2;87;12.6;;0;;2.9;;8.3;14.8;;;;;;0;0;0;98;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 11:30:00;14.8;1034.5;1.1;87;12.7;;0;;2.9;;8.3;14.9;;;;;;0;0;0;100;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 11:40:00;14.9;1034.5;1.1;87;12.8;;0.7;;5.8;113;8.3;14.9;;;;;;0;0;0;97;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 11:50:00;14.8;1034.4;1;87;12.7;;0.7;;5.8;113;8.3;14.9;;;;;;0;0;0;95;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 12:00:00;14.9;1034.1;0.5;87;12.7;;0;;0;;8.3;14.9;0;0;0;0;;0;0;0;116;0.9;;;;0.9@@@@648;weatherlink
000XZ;2025-10-10 12:10:00;14.9;1034.1;0.5;86;12.6;;0.4;;5.8;113;8.3;14.9;;;;;;0;0;0;116;0.9;;;;0.9@@@@648;weatherlink
000XZ;2025-10-10 12:20:00;14.8;1034.1;0.5;86;12.5;;0;;2.9;;8.3;14.9;;;;;;0;0;0;97;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 12:30:00;15;1034.2;0.6;86;12.7;;0;;0;;8.3;14.9;;;;;;0;0;0;90;0.7;;;;0.7@@@@648;weatherlink
000XZ;2025-10-10 12:40:00;15.1;1033.9;0.3;86;12.7;;0;;2.9;;8.3;15.1;;;;;;0;0;0;88;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 12:50:00;14.9;1033.9;0.3;86;12.6;;2.1;;5.8;113;8.3;15.1;;;;;;0;0;0;82;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 13:00:00;14.9;1033.8;-0.4;86;12.6;;2.8;;8.7;113;8.3;15.1;0;0;0;0;;0;0;0;88;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 13:10:00;14.8;1033.8;-0.4;86;12.5;;2.8;;5.8;113;8.3;15.1;;;;;;0;0;0;86;0.6;;;;0.6@@@@648;weatherlink
000XZ;2025-10-10 13:20:00;14.9;1033.7;-0.5;86;12.6;;0.4;;2.9;113;8.3;15.1;;;;;;0;0;0;77;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 13:30:00;14.9;1033.7;-0.5;86;12.6;;0.4;;8.7;113;8.3;15.1;;;;;;0;0;0;76;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 13:40:00;14.8;1033.8;-0.4;86;12.5;;5.3;;11.6;113;8.3;15.1;;;;;;0;0;0;76;0.5;;;;0.5@@@@648;weatherlink
000XZ;2025-10-10 13:50:00;14.7;1033.8;-0.4;86;12.4;;5.3;;8.7;113;8.3;15.1;;;;;;0;0;0;70;0.3;;;;0.3@@@@648;weatherlink
000XZ;2025-10-10 14:00:00;14.7;1033.8;-0.6;87;12.6;;2.8;;8.7;113;8.3;15.1;0;0;0;0;;0;0;0;56;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 14:10:00;14.7;1033.7;-0.7;87;12.5;;4.2;;8.7;85;8.3;15.1;;;;;;0;0;0;54;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 14:20:00;14.7;1033.8;-0.6;87;12.5;;5.3;;11.6;113;8.3;15.1;;;;;;0;0;0;60;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 14:30:00;14.7;1033.8;-0.6;88;12.8;;1.1;;5.8;113;8.3;15.1;;;;;;0;0;0;69;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 14:40:00;14.7;1033.7;-0.7;87;12.6;;0;;2.9;;8.3;15.1;;;;;;0;0;0;67;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 14:50:00;14.8;1033.6;-0.8;88;12.8;;0;;0;;8.3;15.1;;;;;;0;0;0;56;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 15:00:00;14.8;1033.7;-0.4;88;12.9;;0;;2.9;;8.3;15.1;0;0;0;0;;0;0;0;47;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 15:10:00;14.7;1033.7;-0.4;87;12.6;;2.5;;8.7;113;8.3;15.1;;;;;;0;0;0;40;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 15:20:00;14.7;1033.7;-0.4;87;12.5;;1.8;;5.8;113;8.3;15.1;;;;;;0;0;0;35;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 15:30:00;14.7;1033.7;-0.4;87;12.5;;1.8;;8.7;113;8.3;15.1;;;;;;0;0;0;32;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 15:40:00;14.6;1033.6;-0.5;87;12.4;;3.5;;5.8;113;8.3;15.1;;;;;;0;0;0;30;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 15:50:00;14.6;1033.8;-0.3;87;12.4;;2.1;;5.8;113;8.3;15.1;;;;;;0;0;0;25;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 16:00:00;14.6;1033.9;0.1;87;12.4;;1.1;;8.7;113;8.3;15.1;0;0;0;0;;0;0;0;19;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 16:10:00;14.5;1033.9;0.1;87;12.4;;1.1;;8.7;113;8.3;15.1;;;;;;0;0;0;16;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 16:20:00;14.5;1033.9;0.1;88;12.5;;1.1;;5.8;113;8.3;15.1;;;;;;0;0;0;12;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 16:30:00;14.4;1034;0.2;88;12.4;;1.8;;8.7;113;8.3;15.1;;;;;;0;0;0;9;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 16:40:00;14.3;1033.9;0.1;88;12.4;;1.4;;5.8;113;8.3;15.1;;;;;;0;0;0;9;0;;;;0@@@@648;weatherlink
000XZ;2025-10-10 16:50:00;14.3;1033.9;0.1;89;12.5;;1.4;;5.8;113;8.3;15.1;;;;;;0;0;0;5;0;;;;0@@@@648;weatherlink
